train_no,train_name,source_station_name,destination_station_name,departure_time,arrival_time,day_of_departure,day_of_arrival,distance
97237,DL37,DELHI JN.,BARAUT,07:36:00,08:54:00,Wednesday,Wednesday,369
97238,DL38,DELHI JN.,BAREILLY JN.,08:41:00,10:02:00,Wednesday,Wednesday,545
97239,DL39,DELHI JN.,BATHINDA JN,08:20:00,09:38:00,Wednesday,Wednesday,712
97240,DL40,DELHI JN.,BHIWANI JN.,09:05:00,10:26:00,Thursday,Thursday,545
97241,DL41,DELHI JN.,BHUBANESWAR,09:15:00,10:32:00,Friday,Friday,272
97242,DL42,DELHI JN.,BHUSAVAL JN.,09:48:00,10:50:00,Sunday,Sunday,369
97243,DL43,DELHI JN.,BIDAR,09:33:00,10:52:00,Tuesday,Tuesday,545
97244,DL44,DELHI JN.,BIJAPUR JN,10:40:00,12:00:00,Friday,Friday,369
97245,DL45,DELHI JN.,BIKANER JN.,10:22:00,11:39:00,Tuesday,Tuesday,370
97246,DL46,DELHI JN.,CHENNAI CENTRAL,11:03:00,12:23:00,Sunday,Sunday,712
97247,DL47,DELHI JN.,CHENNAI EGMORE,10:36:00,11:53:00,Friday,Friday,370
97248,DL48,DELHI JN.,SHIVAJINAGAR,11:47:00,12:55:00,Saturday,Saturday,369
97249,DL49,DELHI JN.,CHHATRAPATI SHAHU MAHARAJ TERMINUS,12:58:00,13:57:00,Sunday,Sunday,545
97250,DL50,DELHI JN.,CST-MUMBAI,14:09:00,14:59:00,Monday,Monday,282
97251,DL51,DELHI JN.,DADAR,15:20:00,16:01:00,Tuesday,Tuesday,370
97252,DL52,DELHI JN.,DAHANU ROAD,07:36:00,08:54:00,Wednesday,Wednesday,712
97253,DL53,DELHI JN.,DANKAUR,08:41:00,10:02:00,Wednesday,Wednesday,370
97254,DL54,DELHI JN.,DELHI JN.,08:20:00,09:38:00,Wednesday,Wednesday,712
97255,DL55,DELHI JN.,DIBRUGARH,09:05:00,10:26:00,Thursday,Thursday,370
97256,DL56,DELHI JN.,DOMBIVLI,09:15:00,10:32:00,Friday,Friday,712
97257,DL57,DELHI JN.,FAIZABAD JN.,09:48:00,10:50:00,Sunday,Sunday,545
97258,DL58,DELHI JN.,FARUKHNAGAR,09:33:00,10:52:00,Tuesday,Tuesday,282
97259,DL59,DELHI JN.,FAZILKA JN.,10:40:00,12:00:00,Friday,Friday,545
97260,DL60,DELHI JN.,FIROZPUR CANTT JN.,10:22:00,11:39:00,Tuesday,Tuesday,545
97261,DL61,DELHI JN.,GHAZIABAD JN.,11:03:00,12:23:00,Sunday,Sunday,545
97262,DL62,DELHI JN.,GONDIA JN.,10:36:00,11:53:00,Friday,Friday,370
97263,DL63,DELHI JN.,GORAKHPUR JN.,11:47:00,12:55:00,Saturday,Saturday,443
97264,DL64,DELHI JN.,HARIDWAR JN,12:58:00,13:57:00,Sunday,Sunday,595
97265,DL65,DELHI JN.,HATHRAS QILAH,14:09:00,14:59:00,Monday,Monday,443
97266,DL66,DELHI JN.,HOSHIARPUR,15:20:00,16:01:00,Tuesday,Tuesday,595
97267,DL67,DELHI JN.,HOWRAH JN.,07:36:00,08:54:00,Wednesday,Wednesday,443
97268,DL68,DELHI JN.,HYDERABAD DECCAN,08:41:00,10:02:00,Wednesday,Wednesday,595
97269,DL69,DELHI JN.,JABALPUR,08:20:00,09:38:00,Wednesday,Wednesday,443
97270,DL70,DELHI JN.,JAISALMER,09:05:00,10:26:00,Thursday,Thursday,595
97271,DL71,DELHI JN.,JAKHAL JN.,09:15:00,10:32:00,Friday,Friday,443
97272,DL72,DELHI JN.,JALNA,09:48:00,10:50:00,Sunday,Sunday,595
97273,DL73,DELHI JN.,JAMMU TAWI,09:33:00,10:52:00,Tuesday,Tuesday,443
97274,DL74,DELHI JN.,JIND JN,10:40:00,12:00:00,Friday,Friday,289
97275,DL75,DELHI JN.,JODHPUR JN.,10:22:00,11:39:00,Tuesday,Tuesday,443
97276,DL76,DELHI JN.,KALKA,11:03:00,12:23:00,Sunday,Sunday,595
97277,DL77,DELHI JN.,LONAVLA,10:36:00,11:53:00,Friday,Friday,443
97278,DL78,DELHI JN.,KANNIYAKUMARI,11:47:00,12:55:00,Saturday,Saturday,595
97279,DL79,DELHI JN.,KARJAT,12:58:00,13:57:00,Sunday,Sunday,443
97280,DL80,DELHI JN.,KARMALI,14:09:00,14:59:00,Monday,Monday,595
97281,DL81,DELHI JN.,KATHGODAM,15:20:00,16:01:00,Tuesday,Tuesday,369
97282,DL82,DELHI JN.,KHURJA JN,07:36:00,08:54:00,Wednesday,Wednesday,545
97283,DL83,DELHI JN.,KOTDWARA,08:41:00,10:02:00,Wednesday,Wednesday,712
97284,DL84,DELHI JN.,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION),08:20:00,09:38:00,Wednesday,Wednesday,545
97285,DL85,DELHI JN.,KURLA,09:05:00,10:26:00,Thursday,Thursday,712
97286,DL86,DELHI JN.,KURUKSHETRA JN.,09:15:00,10:32:00,Friday,Friday,370
97287,DL87,DELHI JN.,LOKMANYA TILAK TERMINUS,09:48:00,10:50:00,Sunday,Sunday,282
97288,DL88,DELHI JN.,LUCKNOW JN.,09:33:00,10:52:00,Tuesday,Tuesday,545
97289,DL89,DELHI JN.,MADGOAN JN.,10:40:00,12:00:00,Friday,Friday,545
97290,DL90,DELHI JN.,MALDA TOWN,10:22:00,11:39:00,Tuesday,Tuesday,369
97291,DL91,DELHI JN.,MANGALORE JN,11:03:00,12:23:00,Sunday,Sunday,370
97292,DL92,DELHI JN.,MANMAD JN.,10:36:00,11:53:00,Friday,Friday,712
97293,DL93,DELHI JN.,MORADABAD JN.,11:47:00,12:55:00,Saturday,Saturday,370
97294,DL94,DELHI JN.,MYSORE JN.,12:58:00,13:57:00,Sunday,Sunday,712
97295,DL95,DELHI JN.,NAGERCOIL JN.,14:09:00,14:59:00,Monday,Monday,545
97296,DL96,DELHI JN.,NAGPUR JN.(CR),15:20:00,16:01:00,Tuesday,Tuesday,369
97297,DL97,DELHI JN.,NANDED,07:36:00,08:54:00,Wednesday,Wednesday,545
97298,DL98,DELHI JN.,NARWANA JN.,08:41:00,10:02:00,Wednesday,Wednesday,712
97299,DL99,DELHI JN.,NEW BHUJ,08:20:00,09:38:00,Wednesday,Wednesday,545
97300,DL100,DELHI JN.,PALWAL,09:05:00,10:26:00,Thursday,Thursday,272
97301,DL101,DELHI JN.,PANDHARPUR,09:15:00,10:32:00,Friday,Friday,369
97302,DL102,DELHI JN.,PANIPAT JN.,09:48:00,10:50:00,Sunday,Sunday,545
97303,DL103,DELHI JN.,PARTAPGARH JN.,09:33:00,10:52:00,Tuesday,Tuesday,369
97304,DL104,DELHI JN.,PATHANKOT JN.,10:40:00,12:00:00,Friday,Friday,370
97305,DL105,DELHI JN.,PATNA JN.,10:22:00,11:39:00,Tuesday,Tuesday,712
97306,DL106,DELHI JN.,PONDICHERRY,11:03:00,12:23:00,Sunday,Sunday,370
97307,DL107,DELHI JN.,PUNE JN.,10:36:00,11:53:00,Friday,Friday,369
97308,DL108,DELHI JN.,RATNAGIRI,11:47:00,12:55:00,Saturday,Saturday,545
97309,DL109,DELHI JN.,RAVLI JN,12:58:00,13:57:00,Sunday,Sunday,282
97310,DL110,DELHI JN.,REWARI JN.,14:09:00,14:59:00,Monday,Monday,370
97311,DL111,DELHI JN.,RISHIKESH,15:20:00,16:01:00,Tuesday,Tuesday,712
97312,DL112,DELHI JN.,ROHTAK JN.,07:36:00,08:54:00,Wednesday,Wednesday,370
97313,DL113,DELHI JN.,SAHARANPUR JN.,08:41:00,10:02:00,Wednesday,Wednesday,712
97314,DL114,DELHI JN.,SAHIBABAD,08:20:00,09:38:00,Wednesday,Wednesday,370
97315,DL115,DELHI JN.,SAI NAGAR SHIRDI,09:05:00,10:26:00,Thursday,Thursday,712
97316,DL116,DELHI JN.,SAWANTWADI ROAD,09:15:00,10:32:00,Friday,Friday,545
97317,DL117,DELHI JN.,SECUNDERABAD JN.,09:48:00,10:50:00,Sunday,Sunday,282
97318,DL118,DELHI JN.,SHAMLI,09:33:00,10:52:00,Tuesday,Tuesday,545
97319,DL119,DELHI JN.,SHRI GANGANAGAR,10:40:00,12:00:00,Friday,Friday,545
97320,DL120,DELHI JN.,SHRI MATA VAISHNO DEVI KATRA,10:22:00,11:39:00,Tuesday,Tuesday,545
97321,DL121,DELHI JN.,SITAPUR CITY JN.,11:03:00,12:23:00,Sunday,Sunday,370
97322,DL122,DELHI JN.,SOLAPUR,10:36:00,11:53:00,Friday,Friday,443
97323,DL123,DELHI JN.,THANE,11:47:00,12:55:00,Saturday,Saturday,595
97324,DL124,DELHI JN.,TIRUNELVELI JN,12:58:00,13:57:00,Sunday,Sunday,443
97325,DL125,DELHI JN.,TITVALA,14:09:00,14:59:00,Monday,Monday,595
97326,DL126,DELHI JN.,TRIVANDRUM CENTRAL,15:20:00,16:01:00,Tuesday,Tuesday,443
97327,DL127,DELHI JN.,TUNDLA JN,07:36:00,08:54:00,Wednesday,Wednesday,595
97328,DL128,DELHI JN.,VARANASI JN,08:41:00,10:02:00,Wednesday,Wednesday,443
